Product Number,Current In-Stock,Product Name,Flight Numbers
1508.0,0,R-Pro Pig  ,3 | 1 | 0 | 3
1509.0,0,R-Pro Rhyno,2 | 1 | 0 | 3
1510.0,0,R-Pro Xero,2 | 3 | 0 | 0
1602.0,0,Pro Beast,10 | 5 | -2 | 2
1603.0,0,Pro Boss,13 | 5 | -1 | 3
1604.0,0,Pro Corvette,14 | 6 | -2 | 2
1605.0,0,Pro Destroyer,12 | 5 | -1 | 3
1606.0,0,Pro Gorgon,10 | 6 | -3 | 1
1607.0,0,Pro Katana,13 | 5 | -3 | 3
1608.0,0,Pro Leopard,6 | 5 | -2 | 1
1609.0,0,Pro Shryke,13 | 6 | -2 | 2
1610.0,0,Pro Thunderbird,9 | 5 | 0 | 2
1611.0,0,Pro Valkyrie,9 | 4 | -2 | 2
1612.0,0,Pro Wraith,11 | 5 | -1 | 3
402.0,0,Nexus Alien,4 | 2 | 0 | 1
405.0,0,XT Atlas,5 | 4 | 0 | 1
406.0,0,XT Mako3,5 | 5 | 0 | 0
1702.0,0,XT Aviar,2 | 3 | 0 | 1
1703.0,0,XT Aviar3,3 | 2 | 0 | 2
1704.0,0,XT AviarX3,3 | 2 | 0 | 3
1705.0,0,XT Bullfrog,3 | 1 | 0 | 1
1706.0,0,XT Dart,3 | 4 | 0 | 0
1707.0,0,XT Invader  ,3 | 4 | 0 | 0
1708.0,0,XT Nova,2 | 3 | 0 | 0
1709.0,0,XT Whale,2 | 3 | 0 | 1
1710.0,0,XT Xero,2 | 3 | 0 | 0
502.0,0,GStar Mako3,5 | 5 | 0 | 0
1802.0,0,GStar Aviar Putter,2 | 3 | 0 | 1
1803.0,0,GStar Beast,10 | 5 | -2 | 2
1804.0,0,GStar Boss,13 | 5 | -1 | 3
1805.0,0,GStar Charger ,13 | 5 | -1 | 2
1806.0,out,GStar Colossus,14 | 5 | -2 | 3
1807.0,0,GStar Corvette,14 | 6 | -2 | 2
1808.0,0,GStar Destroyer  ,12 | 5 | -1 | 3
1809.0,out,GStar Firebird,9 | 3 | 0 | 4
